dates,number_of_marriage
2023-12-02,9
2022-02-05,8
2018-01-07,9
2020-01-13,17
2023-12-09,13
2019-03-14,21
2023-06-12,12
2022-10-10,13
2019-07-26,17
2021-04-16,17
2020-10-20,13
2023-02-06,10
2023-07-30,8
2018-07-08,13
2023-08-31,8
2018-05-24,9
2019-06-05,9
2018-08-22,12
2022-06-03,11
2021-09-30,11
2019-08-15,13
2018-10-21,14
2018-11-25,8
2019-10-31,11
2023-03-10,11
2020-05-15,15
2019-02-26,10
2022-12-09,5
2019-04-12,10
2020-06-27,6
2022-01-31,12
2021-08-13,7
2023-06-04,5
2022-02-09,13
2023-08-17,6
2022-10-23,19
2018-05-17,10
2020-06-20,11
2019-05-04,13
2018-02-21,10
2019-07-02,11
2020-10-24,11
2019-10-18,11
2020-06-28,5
2023-06-27,6
2020-12-07,7
2021-01-05,10
2021-11-19,13
2021-12-06,7
2018-08-07,11
2021-05-12,7
2022-02-24,11
2021-10-30,8
2020-09-18,8
2018-12-30,10
2019-06-05,12
2020-10-07,20
2022-11-17,6
2023-12-19,10
2021-10-02,5
2018-09-30,11
2020-08-14,13
2022-12-15,9
2021-03-24,8
2023-10-03,9
2021-07-24,10
2021-02-03,7
2023-03-22,9
2020-01-07,12
2020-10-15,5
2023-03-05,11
2018-04-20,6
2023-04-19,9
2021-06-10,14
2023-09-18,12
2021-12-23,14
2022-04-18,10
2023-04-25,16
2020-08-11,15
2023-09-14,13
2020-10-14,14
2022-01-18,13
2019-03-08,12
2018-03-03,9
2020-11-14,8
2021-07-31,8
2023-03-05,7
2020-06-25,8
2020-04-16,10
2019-11-24,17
2018-05-27,16
2019-03-02,10
2020-03-18,5
2019-01-21,13
2020-11-22,11
2021-01-10,4
2023-05-29,9
2018-03-26,12
2021-11-18,8
2018-03-29,13
2018-04-06,8
2019-12-30,5
2018-06-22,17
2021-01-03,8
2021-11-09,9
2023-06-25,14
2019-07-02,14
2021-03-13,12
2022-01-25,9
2019-08-30,9
2019-05-14,7
2021-01-15,7
2018-06-09,12
2019-11-17,9
2023-11-25,10
2018-11-08,5
2018-05-12,9
2022-04-15,5
2023-10-31,6
2022-04-28,7
2020-07-03,12
2020-04-18,8
2023-04-17,17
2019-11-12,10
2019-09-17,8
2021-07-11,11
2018-11-12,19
2023-05-08,15
2019-10-20,7
2018-12-26,11
2021-08-17,6
2018-06-05,11
2019-12-20,15
2022-09-02,9
2020-07-16,7
2021-03-17,10
2023-06-19,8
2019-05-04,13
2018-08-26,7
2019-04-09,10
2021-08-07,8
2020-12-24,6
2018-05-05,8
2021-02-18,8
2018-02-16,11
2019-02-15,11
2021-02-24,14
2021-10-05,10
2021-09-21,7
2020-10-16,9
